DOI,Title,Conference,PaperType,Year,Authors,AuthorAffiliation,InternalReferences,Keywords
10.1109/TVCG.2015.2467615,InterAxis: Steering Scatterplot Axes via Observation-Level Interaction,VAST,J,2015,Hannah Kim;Jaegul Choo;Haesun Park;Alex Endert,Georgia Institute of Technology;Korea University;Georgia Institute of Technology;Georgia Institute of Technology,10.1109/TVCG.2011.185;10.1109/VAST.2012.6400486;10.1109/TVCG.2013.212;10.1109/VAST.2010.5652443;10.1109/TVCG.2011.201;10.1109/TVCG.2008.153;10.1109/VAST.2011.6102449;10.1109/TVCG.2013.157;10.1109/TVCG.2014.2346250;10.1109/VISUAL.1990.146386;10.1109/TVCG.2011.178;10.1109/TVCG.2013.167,scatterplots;user interaction;model steering
10.1109/INFVIS.1997.636759,Visualizing information on a sphere,InfoVis,C,1997,Markus H. Gross;Thomas C. Sprenger;J. Finger,"Dept. of Comput. Sci., Zurich Univ., Switzerland",10.1109/INFVIS.1995.528689;10.1109/INFVIS.1995.528691;10.1109/INFVIS.1995.528686;10.1109/VISUAL.1996.567787,information visualization;physically-based systems;multidimensional information space;hierarchies;blobby clustering
10.1109/VISUAL.1997.663882,An anti-aliasing technique for splatting,Vis,C,1997,J. Edward Swan;Klaus Mueller;Torsten Möller;Naeem Shareef;Roger Crawfis;Roni Yagel,"Adv. Comput. Center for the Arts & Design, Ohio State Univ., Columbus, OH, USA",10.1109/VISUAL.1996.567608;10.1109/VISUAL.1993.398877;10.1109/VISUAL.1994.346331;10.1109/VISUAL.1995.480792;10.1109/VISUAL.1993.398852,volume rendering;splatting;direct volume rendering;resampling;reconstruction;anti-aliasing;perspective projection
10.1109/INFVIS.2005.1532148,Importance-driven visualization layouts for large time series data,InfoVis,C,2005,Ming C. Hao;Umeshwar Dayal;Daniel A. Keim;Tobias Schreck,"Hewlett-Packard Labs., Palo Alto, CA, USA;Hewlett-Packard Labs., Palo Alto, CA, USA",10.1109/INFVIS.1999.801867;10.1109/INFVIS.1999.801851;10.1109/VISUAL.1995.485140;10.1109/INFVIS.1999.801860;10.1109/INFVIS.2000.885086,information visualization;time series;space-filling layout generation
10.1109/VAST.2006.261450,Time Tree: Exploring Time Changing Hierarchies,VAST,C,2006,Stuart K. Card;Bongwon Suh;Bryan A. Pendleton;Bryan Heer;John W. Bodnar,"Palo Alto Research Center, 3333 Coyote Hill Road Palo Alto, CA 94304. E-mail: card@parc.com;Palo Alto Research Center, 3333 Coyote Hill Road Palo Alto, CA 94304. E-mail: suh@parc.com;Palo Alto Research Center, 3333 Coyote Hill Road Palo Alto, CA 94304. E-mail: bpendlet@parc.com;University of California at Berkeley, jheer@cs.berkeley.edu;SAIC, john.w.bodnar@saic.com",10.1109/INFVIS.2003.1249010;10.1109/VISUAL.1991.175815,timetree;doi tree;tree visualization;organizational chart;timeseries data;visual analytics
10.1109/TVCG.2006.168,On Histograms and Isosurface Statistics,Vis,J,2006,Hamish A. Carr;Brian Duffy;Brian Denby,University College Dublin;University College Dublin;University College Dublin,10.1109/VISUAL.1994.346334;10.1109/VISUAL.2001.964519;10.1109/VISUAL.1994.346331;10.1109/VISUAL.1991.175782;10.1109/VISUAL.2001.964515;10.1109/VISUAL.2001.964516;10.1109/VISUAL.1997.663875,histograms;isosurfaces;isosurface statistics
10.1109/TVCG.2007.70516,Transform Coding for Hardware-accelerated Volume Rendering,Vis,J,2007,Nathaniel Fout;Kwan-Liu Ma,"Department of Computer Science, University of California, Davis;Department of Computer Science, University of California, Davis",10.1109/VISUAL.2002.1183757;10.1109/VISUAL.2001.964520;10.1109/VISUAL.2004.95;10.1109/VISUAL.1993.398845;10.1109/VISUAL.2003.1250357;10.1109/VISUAL.1995.480812;10.1109/VISUAL.2003.1250385,volume compression;compressed volume rendering;transform coding;hardware-accelerated volume rendering
10.1109/TVCG.2007.70602,Topological Visualization of Brain Diffusion MRI Data,Vis,J,2007,Thomas Schultz 0001;Holger Theisel;Hans-Peter Seidel,,10.1109/VISUAL.1999.809894;10.1109/VISUAL.2005.1532777;10.1109/VISUAL.2005.1532841;10.1109/VISUAL.1994.346326;10.1109/VISUAL.2005.1532778;10.1109/VISUAL.1994.346326,diffusion tensor;probabilistic fiber tracking;tensor topology;uncertainty visualization
10.1109/TVCG.2007.70604,"Topology, Accuracy, and Quality of Isosurface Meshes Using Dynamic Particles",Vis,J,2007,Miriah D. Meyer;Robert Michael Kirby;Ross T. Whitaker,"Scientific Computing and Imaging Institute at the University of Utah,;Scientific Computing and Imaging Institute at the University of Utah,;Scientific Computing and Imaging Institute at the University of Utah,",10.1109/VISUAL.2002.1183766;10.1109/VISUAL.2003.1250414;10.1109/VISUAL.2003.1250363;10.1109/TVCG.2006.149;10.1109/VISUAL.2002.1183808;10.1109/VISUAL.2000.885705,isosurface extraction;particle systems;delaunay triangulation
10.1109/TVCG.2009.124,Color Seamlessness in Multi-Projector Displays Using Constrained Gamut Morphing,Vis,J,2009,Behzad Sajadi;Maxim Lazarov;Meenakshisundaram Gopi;Aditi Majumder,"University of California, Irvine;University of California, Irvine;University of California, Irvine;University of California, Irvine",10.1109/VISUAL.2001.964508;10.1109/VISUAL.2002.1183793;10.1109/VISUAL.2000.885684;10.1109/VISUAL.1999.809883;10.1109/TVCG.2007.70586;10.1109/TVCG.2006.121,color calibration;multi-projector displays;tiled displays
10.1109/TVCG.2009.200,Visualization and Exploration of Temporal Trend Relationships in Multivariate Time-Varying Data,Vis,J,2009,Teng-Yok Lee;Han-Wei Shen,The Ohio State University;The Ohio State University,10.1109/TVCG.2008.131;10.1109/VISUAL.1999.809864;10.1109/VISUAL.2004.95;10.1109/VISUAL.2003.1250402;10.1109/TVCG.2007.70519;10.1109/INFVIS.1997.636793;10.1109/TVCG.2008.140;10.1109/VAST.2006.261421,subdtw;trend sequence;trend sequence clustering
10.1109/VAST.2010.5652530,Visual market sector analysis for financial time series data,VAST,C,2010,Hartmut Ziegler;Marco Jenny;Tino Gruse;Daniel A. Keim,University of Konstanz;University of Konstanz;University of Konstanz;University of Konstanz,10.1109/INFVIS.2001.963273;10.1109/INFVIS.1997.636789;10.1109/INFVIS.2001.963288;10.1109/INFVIS.1999.801851;10.1109/INFVIS.2003.1249027,visual analytics;financial information visualization;time series data;time series clustering;explorative analysis
10.1109/TVCG.2011.213,In Situ Exploration of Large Dynamic Networks,InfoVis,J,2011,Steffen Hadlak;Hans-Jörg Schulz;Heidrun Schumann,University of Rostock;Graz University of Technology;University of Rostock,10.1109/TVCG.2009.151;10.1109/TVCG.2008.114;10.1109/INFVIS.2004.18;10.1109/TVCG.2007.70582;10.1109/INFVIS.2000.885087;10.1109/INFVIS.2004.66;10.1109/INFVIS.2002.1173153;10.1109/INFVIS.2002.1173160;10.1109/INFVIS.2005.1532151;10.1109/INFVIS.2003.1249006;10.1109/TVCG.2007.70529;10.1109/TVCG.2006.166,dynamic graph data;multiform visualization;multi-focus+context
10.1109/TVCG.2012.286,Visualizing Network Traffic to Understand the Performance of Massively Parallel Simulations,InfoVis,J,2012,Aaditya G. Landge;Joshua A. Levine;Abhinav Bhatele;Katherine E. Isaacs;Todd Gamblin;Martin Schulz 0001;Steve H. Langer;Peer-Timo Bremer;Valerio Pascucci,"SCI Institute, University of Utah;SCI Institute, University of Utah;Lawrence Livermore National Laboratory;University of California, Davis;Lawrence Livermore National Laboratory;Lawrence Livermore National Laboratory;Lawrence Livermore National Laboratory;Lawrence Livermore National Laboratory;SCI Institute, University of Utah",10.1109/TVCG.2009.196;10.1109/INFVIS.2004.66,performance analysis;network traffic visualization;projected graph layouts
10.1109/TVCG.2012.217,Efficient Structure-Aware Selection Techniques for 3D Point Cloud Visualizations with 2DOF Input,SciVis,J,2012,Lingyun Yu;Konstantinos Efstathiou 0001;Petra Isenberg;Tobias Isenberg 0001,University of Groningen;University of Groningen;INRIA;University of Groningen,10.1109/TVCG.2010.157;10.1109/TVCG.2012.292;10.1109/TVCG.2008.153,3d interaction;spatial selection;direct-touch interaction
10.1109/TVCG.2012.231,Hierarchical Exploration of Volumes Using Multilevel Segmentation of the Intensity-Gradient Histograms,SciVis,J,2012,Cheuk Yiu Ip;Amitabh Varshney;Joseph JáJá,University of Maryland;University of Maryland;University of Maryland,10.1109/TVCG.2010.132;10.1109/TVCG.2009.185;10.1109/VISUAL.1999.809932;10.1109/VISUAL.2005.1532795;10.1109/VISUAL.2003.1250370;10.1109/TVCG.2010.208;10.1109/TVCG.2008.162;10.1109/TVCG.2011.248;10.1109/TVCG.2011.173;10.1109/TVCG.2006.174;10.1109/TVCG.2011.231;10.1109/TVCG.2007.70590;10.1109/TVCG.2009.197;10.1109/TVCG.2006.148,volume exploration;volume classification;normalized cut;information-guided exploration
10.1109/TVCG.2014.2352953,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,InfoVis,J,2014,Simon Stusak;Aurélien Tabard;Franziska Sauka;Rohit Ashok Khot;Andreas Butz,"University of Munich (LMU);Université de Lyon & CNRS, France;University of Munich (LMU);Exertion Games Lab, RMIT University;University of Munich (LMU)",10.1109/TVCG.2007.70541;10.1109/INFVIS.2003.1249031;10.1109/TVCG.2013.134,physical visualizations;activity sculptures;physical activity;data sculptures;behavioral change
10.1109/TVCG.2014.2346449,Using Topological Analysis to Support Event-Guided Exploration in Urban Data,SciVis,J,2014,Harish Doraiswamy;Nivan Ferreira;Theodoros Damoulas;Juliana Freire;Cláudio T. Silva,New York University;New York University;New York University;New York University;New York University,10.1109/TVCG.2013.130;10.1109/TVCG.2007.70574;10.1109/VAST.2008.4677356;10.1109/VISUAL.2004.96;10.1109/TVCG.2013.179;10.1109/TVCG.2006.186;10.1109/VAST.2008.4677354;10.1109/TVCG.2013.226;10.1109/TVCG.2013.228;10.1109/VAST.2012.6400557;10.1109/VAST.2011.6102454;10.1109/TVCG.2013.131,computational topology;event detection;spatio-temporal index;urban data;visual exploration
10.1109/TVCG.2015.2467622,Supporting Iterative Cohort Construction with Visual Temporal Queries,VAST,J,2015,Josua Krause;Adam Perer;Harry Stavropoulos,NYU;IBM T.J. Watson Research Center;IBM T.J. Watson Research Center,10.1109/TVCG.2011.185;10.1109/VAST.2007.4389013;10.1109/VAST.2006.261421;10.1109/TVCG.2014.2346682;10.1109/VAST.2010.5652890;10.1109/TVCG.2014.2346482;10.1109/TVCG.2013.200;10.1109/TVCG.2013.206;10.1109/TVCG.2009.117;10.1109/INFVIS.2001.963273;10.1109/TVCG.2012.225;10.1109/TVCG.2013.167,visual temporal queries;cohort definition;electronic medical records;information visualization
10.1109/TVCG.2015.2468151,egoSlider: Visual Analysis of Egocentric Network Evolution,VAST,J,2015,Yanhong Wu;Naveen Pitipornvivat;Jian Zhao 0010;Sixiao Yang;Guowei Huang;Huamin Qu,Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Autodesk Research;Huawei Technologies Co. Ltd.;Huawei Technologies Co. Ltd.;Hong Kong University of Science and Technology,10.1109/TVCG.2011.169;10.1109/TVCG.2011.226;10.1109/TVCG.2006.147;10.1109/TVCG.2013.149,egocentric network;dynamic graph;network visualization;glyph-based design;visual analytics
10.1109/INFVIS.1996.559215,Distortion viewing techniques for 3-dimensional data,InfoVis,C,1996,Sheelagh Carpendale;David J. Cowperthwaite;F. David Fracchia,"Sch. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada",,distortion viewing;screen layout;3d interaction;information visualization;interface metaphors;interface design issues
10.1109/VISUAL.1997.663900,Integrated volume compression and visualization,Vis,C,1997,Tzi-cker Chiueh;Chuan-Kai Yang;Taosong He;Hanspeter Pfister;Arie E. Kaufman,"Center for Visual Comput., State Univ. of New York, Stony Brook, NY, USA",10.1109/VISUAL.1993.398845,volume compression;fourier projection theorem;discrete hartley transform;image compositing
10.1109/VISUAL.2001.964496,"Visualization of Sports using Motion Trajectories: Providing Insights into Performance, Style, and Strategy",Vis,C,2001,Gopal Sarma Pingali;Agata Opalach;Yves Jean;Ingrid Carlbom,"IBM Thomas J. Watson Res. Center, Hawthorne, NY, USA",10.1109/VISUAL.1997.663893,sports visualization;virtual environment;telepresence;real-time video analysis;multi-camera tracking;multimedia indexing
10.1109/VISUAL.2002.1183780,Visualizing dynamic molecular conformations,Vis,C,2002,Johannes Schmidt-Ehrenberg;Daniel Baum;Hans-Christian Hege,"Zuse Inst. Berlin (ZIB), Germany;Zuse Inst. Berlin (ZIB), Germany;Zuse Inst. Berlin (ZIB), Germany",10.1109/VISUAL.2000.885733,uncertainty visualization;molecular conformation analysis;molecular modeling;drug design
10.1109/INFVIS.2004.71,Value and Relation Display for Interactive Exploration of High Dimensional Datasets,InfoVis,C,2004,Jing Yang 0001;Anilkumar Patro;Shiping Huang;Nishant K. Mehta;Matthew O. Ward;Elke A. Rundensteiner,Worcester Polytechnic Institute,10.1109/INFVIS.1998.729559;10.1109/INFVIS.2003.1249015;10.1109/VISUAL.1994.346302;10.1109/INFVIS.2003.1249014;10.1109/INFVIS.1995.528686;10.1109/VISUAL.1995.485140,multi-dimensional visualization;pixel-oriented;multi-dimensional scaling;high dimensional datasets
10.1109/VISUAL.2005.1532801,Stream-processing points,Vis,C,2005,Renato Pajarola,"Dept. of Informatics, Zurich Univ., Switzerland",10.1109/VISUAL.2001.964489;10.1109/VISUAL.2000.885721;10.1109/VISUAL.2002.1183770;10.1109/VISUAL.2003.1250408;10.1109/VISUAL.2005.1532800;10.1109/VISUAL.2002.1183771,point processing;sequential processing;normal estimation;curvature estimation;fairing
10.1109/TVCG.2006.192,Visual Analysis of Multivariate State Transition Graphs,InfoVis,J,2006,A. Johannes Pretorius;Jarke J. van Wijk,"Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, PO Box 513, 5600 MB Eindhoven, The Netherlands;Department of Mathematics and Computer Science, Technische Universiteit Eindhoven, PO Box 513, 5600 MB Eindhoven, The Netherlands",10.1109/INFVIS.2002.1173153;10.1109/INFVIS.2002.1173155;10.1109/VISUAL.1991.175796;10.1109/VISUAL.2002.1183778;10.1109/INFVIS.2003.1249028,graph visualization;multivariate visualization;interactive clustering;state spaces;transition systems;finite state machines
10.1109/TVCG.2007.70519,Variable Interactions in Query-Driven Visualization,Vis,J,2007,Luke J. Gosink;John C. Anderson;E. Wes Bethel;Kenneth I. Joy,"Institute for Data Analysis and Visualization (IDAV), University of California, Davis;Institute for Data Analysis and Visualization (IDAV), University of California, Davis;Computing Sciences Division and Scientific Visualization Group, Lawrence Berkeley National Laboratory;Institute for Data Analysis and Visualization (IDAV), University of California, Davis",10.1109/VISUAL.2004.68;10.1109/VISUAL.2005.1532792;10.1109/VISUAL.1999.809866;10.1109/TVCG.2006.165;10.1109/VISUAL.2003.1250362,multivariate data;query-driven visualization
10.1109/TVCG.2008.147,Interactive Volume Exploration for Feature Detection and Quantification in Industrial CT Data,Vis,J,2008,Markus Hadwiger;Laura Fritz;Christof Rezk-Salama;Thomas Höllt;Georg Geier;Thomas Pabel,"VRVis Research Center, Austria;VRVis Research Center, Austria;University of Siegen, Germany;VRVis Research Center, Austria;Austrian Foundry Research Institute;Austrian Foundry Research Institute",10.1109/VISUAL.2003.1250418;10.1109/VISUAL.2001.964519;10.1109/VISUAL.1997.663875;10.1109/VISUAL.2001.964516,non-destructive testing;multi-dimensional transfer functions;region growing;volume rendering
10.1109/VAST.2010.5653587,Towards the Personal Equation of Interaction: The impact of personality factors on visual analytics interface interaction,VAST,C,2010,Tera Marie Green;Brian D. Fisher,School of Interactive Arts &#x002B; Technology Simon Fraser University;School of Interactive Arts &#x002B; Technology Simon Fraser University,,visual analytics;cognition and perception theory;embodied cognition;visualization taxonomies and models
10.1109/TVCG.2011.176,BirdVis: Visualizing and Understanding Bird Populations,InfoVis,J,2011,Nivan Ferreira;Lauro Didier Lins;Daniel Fink;Steve Kelling;Christopher Wood;Juliana Freire;Cláudio T. Silva,University of Utah;University of Utah;Cornell Lab of Ornithology;Cornell Lab of Ornithology;Cornell Lab of Ornithology;University of Utah;University of Utah,10.1109/VISUAL.2001.964510;10.1109/VISUAL.1990.146361;10.1109/TVCG.2010.194;10.1109/TVCG.2010.130;10.1109/TVCG.2007.70570;10.1109/TVCG.2008.153,ornithology;species distribution models;multiscale analysis;spatial data;temporal data
10.1109/TVCG.2011.250,"VisBricks: Multiform Visualization of Large, Inhomogeneous Data",InfoVis,J,2011,Alexander Lex;Hans-Jörg Schulz;Marc Streit;Christian Partl;Dieter Schmalstieg,Graz University of Technology;Graz University of Technology;Graz University of Technology;Graz University of Technology;Graz University of Technology,10.1109/INFVIS.2005.1532129;10.1109/TVCG.2010.138;10.1109/TVCG.2006.120;10.1109/TVCG.2007.70582;10.1109/INFVIS.2003.1249006;10.1109/TVCG.2006.147;10.1109/TVCG.2009.167;10.1109/TVCG.2010.216;10.1109/TVCG.2006.166,inhomogeneous data;multiple coordinated views;multiform visualization
10.1109/TVCG.2011.219,Load-Balanced Parallel Streamline Generation on Large Scale Vector fields,Vis,J,2011,Boonthanome Nouanesengsy;Teng-Yok Lee;Han-Wei Shen,The Ohio State University;The Ohio State University;The Ohio State University,,flow visualization;parallel processing;3d vector field visualization;streamlines
10.1109/VAST.2012.6400487,"Just-in-time annotation of clusters, outliers, and trends in point-based data visualizations",VAST,C,2012,Eser Kandogan,"IBM Center for Advanced Visualization, IBM Research",10.1109/INFVIS.2003.1249015;10.1109/INFVIS.2005.1532142;10.1109/INFVIS.2004.3;10.1109/TVCG.2011.220;10.1109/INFVIS.2004.15;10.1109/INFVIS.1998.729559;10.1109/VAST.2006.261423;10.1109/TVCG.2009.153;10.1109/VAST.2010.5652885;10.1109/VAST.2009.5332628;10.1109/TVCG.2011.229,just-in-time descriptive analytics;feature identification and characterization;point-based visualizations
10.1109/TVCG.2014.2346292,Constructing Visual Representations: Investigating the Use of Tangible Tokens,InfoVis,J,2014,Samuel Huron;Yvonne Jansen;Sheelagh Carpendale,Inria and IRI;Inria and University of Copenhagen;University of Calgary,10.1109/TVCG.2009.176;10.1109/TVCG.2011.185;10.1109/TVCG.2013.227;10.1109/TVCG.2007.70577;10.1109/INFVIS.2004.64;10.1109/TVCG.2011.251;10.1109/VISUAL.1997.663890;10.1109/TVCG.2012.275;10.1109/TVCG.2013.134;10.1109/TVCG.2010.164;10.1109/TVCG.2007.70541;10.1109/TVCG.2012.199,constructive visualization;physical visualization;dynamic visualization;empirical study;token;visualization authoring;information visualization;visual mapping;novices;visualization construction;visual analytics
10.1109/VISUAL.2002.1183767,TetFusion: an algorithm for rapid tetrahedral mesh simplification,Vis,C,2002,Prashant Chopra;Jörg Meyer 0003,"Eng. Res. Center, Mississippi State Univ., MS, USA;Eng. Res. Center, Mississippi State Univ., MS, USA",10.1109/VISUAL.1998.745329;10.1109/VISUAL.1997.663883;10.1109/VISUAL.1999.809868;10.1109/VISUAL.2000.885680;10.1109/VISUAL.1998.745315;10.1109/VISUAL.1999.809901,mesh simplification;multi resolution;level-of-detail;unstructured meshes
10.1109/VISUAL.2003.1250406,Monte Carlo volume rendering,Vis,C,2003,Balázs Csébfalvi;László Szirmay-Kalos,"Dept. of Control Eng. & Inf. Technol., Budapest Tech. Univ., Hungary;Dept. of Control Eng. & Inf. Technol., Budapest Tech. Univ., Hungary",10.1109/VISUAL.2002.1183757;10.1109/VISUAL.2001.964490;10.1109/VISUAL.2002.1183777,x-ray volume rendering;monte carlo integration;importance sampling;progressive refinement
10.1109/VISUAL.2004.25,Display of vector fields using a reaction-diffusion model,Vis,C,2004,Allen R. Sanderson;Christopher R. Johnson 0001;Robert Michael Kirby,"Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA;Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA;Sci. Comput. & Imaging Inst., Utah Univ., Salt Lake City, UT, USA",10.1109/VISUAL.1999.809865;10.1109/VISUAL.1995.480817;10.1109/VISUAL.1995.485141;10.1109/VISUAL.2000.885688;10.1109/VISUAL.1996.567784;10.1109/VISUAL.1992.235211;10.1109/VISUAL.1992.235225;10.1109/TVCG.2009.126;10.1109/VISUAL.1996.567777;10.1109/VISUAL.2003.1250357;10.1109/VISUAL.1999.809904;10.1109/VISUAL.1999.809905;10.1109/VISUAL.1991.175789;10.1109/VISUAL.1997.663897,vector field visualization;flow visualization;reaction-diffusion;vector fields
10.1109/INFVIS.2005.1532151,Visualization of graphs with associated timeseries data,InfoVis,C,2005,Purvi Saraiya;Peter Lee 0005;Chris North 0001,"Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA;Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA;Dept. of Comput. Sci., Virginia Polytech. Inst. & State Univ., Blacksburg, VA, USA",10.1109/INFVIS.2004.1;10.1109/INFVIS.1996.559226;10.1109/INFVIS.2003.1249009,graph visualization;data overlay;timeseries data analysis;usability experiments
10.1109/VISUAL.2005.1532858,Illustration and photography inspired visualization of flows and volumes,Vis,C,2005,Nikolai A. Svakhine;Yun Jang;David S. Ebert;Kelly P. Gaither,"Purdue Univ., West Lafayette, IN, USA;Purdue Univ., West Lafayette, IN, USA;Purdue Univ., West Lafayette, IN, USA",10.1109/VISUAL.1995.485141;10.1109/VISUAL.1993.398846;10.1109/VISUAL.2003.1250378;10.1109/VISUAL.1996.567777;10.1109/VISUAL.1997.663912;10.1109/VISUAL.2003.1250361;10.1109/VISUAL.1999.809905;10.1109/VISUAL.2000.885694;10.1109/VISUAL.2000.885689;10.1109/VISUAL.2005.1532857;10.1109/VISUAL.2000.885696;10.1109/VISUAL.1993.398877,interactive volume illustration;flow visualization;non-photorealistic rendering;photographic techniques
10.1109/TVCG.2006.194,Visual Signatures in Video Visualization,Vis,J,2006,Min Chen 0001;Ralf P. Botchen;Rudy Hashim;Daniel Weiskopf;Thomas Ertl;Ian M. Thornton,IEEE Computer Society;IEEE Computer Society,10.1109/VISUAL.2003.1250401;10.1109/VISUAL.1991.175792;10.1109/VISUAL.1995.480819,video visualization;volume visualization;flow visualization;human factors;user study;visual signatures;video processing;optical flow;gpu rendering
10.1109/TVCG.2007.70617,Visualization of Heterogeneous Data,InfoVis,J,2007,Mike Cammarano;Xin Dong 0001;Bryan Chan;Jeff Klingner;Justin Talbot;Alon Y. Halevy;Pat Hanrahan,Stanford University;University of Washington;Stanford University;Stanford University;Stanford University;Google;Stanford University,10.1109/INFVIS.2000.885086;10.1109/VISUAL.1994.346302;10.1109/INFVIS.1996.559210,data integration;rdf;attribute inference
10.1109/TVCG.2007.70544,Contextualized Videos: Combining Videos with Environment Models to Support Situational Understanding,Vis,J,2007,Yi Wang;David M. Krum;Enylton Machado Coelho;Doug A. Bowman,Center for HCI at Virginia Tech;Robert Bosch Research and Technology Center;Robert Bosch Research and Technology Center;Center for HCI at Virginia Tech,10.1109/VISUAL.2003.1250396;10.1109/TVCG.2006.194;10.1109/VISUAL.2003.1250401;10.1109/VISUAL.2003.1250400;10.1109/VISUAL.2005.1532836;10.1109/VISUAL.2005.1532782,situational awareness;videos;virtual environment models;design space;testbed design and evaluation
10.1109/TVCG.2007.70576,LiveSync: Deformed Viewing Spheres for Knowledge-Based Navigation,Vis,J,2007,Peter Kohlmann;Stefan Bruckner;Armin Kanitsar;M. Eduard Gröller,IEEE Computer Society,10.1109/VISUAL.2005.1532834;10.1109/TVCG.2006.152;10.1109/VISUAL.2005.1532833,navigation;interaction;linked views;medical visualization;viewpoint selection
10.1109/TVCG.2007.70598,Surface Extraction from Multi-Material Components for Metrology using Dual Energy CT,Vis,J,2007,Christoph Heinzl;Johann Kastner;M. Eduard Gröller,,10.1109/VISUAL.2003.1250418;10.1109/VISUAL.2001.964519,dect image fusion;local surface extraction;dual energy ct;metrology;dimensional measurement;variance comparison
10.1109/TVCG.2009.172,Perception-Based Transparency Optimization for Direct Volume Rendering,Vis,J,2009,Ming-Yuen Chan;Yingcai Wu;Wai-Ho Mak;Wei Chen 0001;Huamin Qu,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology;Department of Computer Science and Engineering, The Hong Kong University of Science and Technology;Department of Computer Science and Engineering, The Hong Kong University of Science and Technology;State Key Lab of CAD&amp;CG, Zhejiang University;Department of Computer Science and Engineering, The Hong Kong University of Science and Technology",10.1109/VISUAL.1998.745319;10.1109/VISUAL.2000.885694;10.1109/TVCG.2008.118;10.1109/VISUAL.2003.1250414;10.1109/TVCG.2007.70591;10.1109/VISUAL.2004.62;10.1109/TVCG.2008.162;10.1109/TVCG.2006.183;10.1109/TVCG.2008.159;10.1109/TVCG.2006.148,direct volume rendering;image enhancement;layer perception
10.1109/VAST.2010.5652460,Flow-based scatterplots for sensitivity analysis,VAST,C,2010,Yu-Hsuan Chan;Carlos D. Correa;Kwan-Liu Ma,University of California at Davis;University of California at Davis;University of California at Davis,10.1109/TVCG.2008.119;10.1109/VAST.2008.4677368;10.1109/VAST.2009.5332611;10.1109/VAST.2007.4389000;10.1109/TVCG.2006.166;10.1109/TVCG.2008.153,uncertainty;data transformations;principal component analysis;model fitting
10.1109/TVCG.2011.191,Drawing Road Networks with Focus Regions,InfoVis,J,2011,Jan-Henrik Haunert;Leon Sering,University of W&#x0FC;rzburg;University of W&#x0FC;rzburg,10.1109/TVCG.2008.132;10.1109/INFVIS.2004.66,cartography;schematic maps;fish-eye view;graph drawing;optimization;quadratic programming
10.1109/TVCG.2012.221,Evaluating the Effect of Style in Information Visualization,InfoVis,J,2012,Andrew Vande Moere;Martin Tomitsch;Christoph Wimmer;Christoph M. Bösch;Thomas Grechenig,KU Leuven;University of Sydney;TU Wien;TU Wien;TU Wien,10.1109/TVCG.2007.70541;10.1109/TVCG.2007.70577;10.1109/TVCG.2009.122,visualization;design;style;aesthetics;evaluation;online study;user experience
10.1109/TVCG.2012.256,Representative Factor Generation for the Interactive Visual Analysis of High-Dimensional Data,InfoVis,J,2012,Cagatay Turkay;Arvid Lundervold;Astri J. Lundervold;Helwig Hauser,"Department of Informatics, University of Bergen;Department of Biomedicine, University of Bergen;Department of Biological and Medical Psychology, University of Bergen;Department of Informatics, University of Bergen",10.1109/TVCG.2009.199;10.1109/INFVIS.2005.1532142;10.1109/VAST.2011.6102449;10.1109/INFVIS.2000.885086;10.1109/VISUAL.1994.346302;10.1109/TVCG.2008.116;10.1109/TVCG.2011.178;10.1109/TVCG.2007.70569;10.1109/VISUAL.1999.809866;10.1109/INFVIS.2004.60;10.1109/INFVIS.2004.3;10.1109/TVCG.2009.153,interactive visual analysis;high-dimensional data analysis
10.1109/TVCG.2014.2346419,The Persuasive Power of Data Visualization,InfoVis,J,2014,Anshul Vikram Pandey;Anjali Manivannan;Oded Nov;Margaret Satterthwaite;Enrico Bertini,New York University;New York University;New York University;New York University;New York University,10.1109/TVCG.2012.199;10.1109/TVCG.2012.221;10.1109/TVCG.2012.197;10.1109/TVCG.2011.192;10.1109/TVCG.2013.234,persuasive visualization;elaboration likelihood model;evaluation
10.1109/TVCG.2015.2466992,"Evaluation of Parallel Coordinates: Overview, Categorization and Guidelines for Future Research",InfoVis,J,2015,Jimmy Johansson;Camilla Forsell,"Norrköping Visualization Center C/Linköping University, Sweden;Norrköping Visualization Center C/Linköping University, Sweden",10.1109/TVCG.2014.2346626;10.1109/TVCG.2011.201;10.1109/VISUAL.1999.809866;10.1109/TVCG.2014.2346979;10.1109/INFVIS.2002.1173157;10.1109/TVCG.2013.126;10.1109/INFVIS.2005.1532138;10.1109/TVCG.2009.153;10.1109/INFVIS.2004.15;10.1109/INFVIS.2004.5;10.1109/TVCG.2011.197;10.1109/VISUAL.1997.663867,survey;evaluation;guidelines;parallel coordinates
